pred,true,score
ynwqocxc,ynjqopkh,4
kphjevwd,kcueeisi,2
cncuwchm,pnchwcvm,5
huamcgxd,hhnmctxd,5
wrzhrmga,jrzurmkr,4
upmjqhvd,uczjqhvq,5
adxalzge,adkaymtw,3
dalwbdwe,dalwbdjj,6
gappemec,gnccemep,4
ynpmlece,lnpzyroj,2
lmeyvamu,ymrlvanh,3
yfmgcxjq,yjmtcxwu,4
boqlzjmb,ooqlmwab,4
idggidre,idgtvqne,4
sgvoeldr,stioipqj,2
ggbdjnlx,ggbdjnlt,7
yiemzdgl,lirzddgt,3
scjsnnvm,fpjfaaiz,1
kugjdrub,khgwdrgo,4
bsmhfwta,ojzuwjgn,0
vgarppmd,itaecpex,2
psqjbnga,psdjonga,6
awgqapsc,njtdnpfp,1
rzzxmjlr,ezmxdwyr,3
gimfyuwb,timfyhrf,4
wfxmadwh,wjkzqdjh,3
ysaahygq,lfnahygh,4
asvotaup,nfibgadc,1
pywevcip,plwevcel,5
dkhrkblb,qyurxoyo,1
wrtaztda,wrgnzgmn,3
upaabhzj,ucanbuew,3
skmnzcqb,flmnmpmb,3
ruavhzll,runvhrlk,5
yddwhxdl,lqdwuxdy,4
wndvvdie,jndvidrw,4
vboahflp,vboahjyx,5
vtiascdb,vtvafcmb,5
wxbltrll,wkbygrpt,3
hzfvceoz,umfilebe,2
qsvajmee,dfvnjerj,2
suvocive,suvbpviw,3
ucwlivyz,hcjyvilz,2
yfxgbohp,lskgbovd,3
pnofffgm,cabsssxr,0
mkpsrwed,zxpsewrh,3
woohwdsc,wbbujdfl,2
gakjkphb,tnkjkpmf,4
khvizxvv,kuvvmxwv,4
kgqsvwec,xgdsvweo,5
dspoyggc,qscbygfs,3
ebkgepsl,rokgepfg,4
vrukpbqk,vrhkpozk,5
midvhpdk,ziqvupzt,3
tcdfegwc,tcqsetjc,4
ddkulhha,ddkhyhde,4
ddlanxve,qqynakvw,1
rrmgrtdq,rrmgetmq,6
unebcmhc,uneopzyg,3
qgqfcupq,dgdspucq,3
uirmchua,hvrzcuwn,2
wagkchid,wmgkpuri,3
qswsqsaq,qswsdsad,6
maekhypq,mnekuypk,5
ugmogvmq,ugzogvmk,6
vacvhwvc,vzpvuwvk,4
yzeecggc,ymezlftl,2
ussknmum,uwfxnrhz,2
kxrgzxjx,kxegqswx,4
fwmjoyhm,fimjoltz,4
rgsubxdl,rgfhcxdt,4
dddsaqdn,qqqfnzqa,0
bshrcfcc,bwhepfcu,4
ulpcactc,uypprpsc,3
ukjscsaa,uxjscfan,5
myicgrum,myicgjum,7
qzkknngd,qmxcanxd,3
idzsldcr,idmkydbe,3
qrhqrsvc,qehqrfwx,4
rljifywa,eywifyja,4
yjaykqvp,leayxqrp,4
dryizhtb,delvzvsb,3
bpxknmtl,oykxneft,1
ryhvaclc,ryhvablh,6
nnlwbuqr,nzgwohdr,3
flzrzbgq,fyzrdbgd,5
rudhkyqy,rhqhgpql,3
asdryhqd,nfqrlhzh,2
nmolzsii,ambydsri,3
knlfjcub,kalfvphf,3
azvvzxko,nmivzxof,3
euuxshjl,ehuxfuwt,3
rkghcdyz,rkghcdlz,7
wqijbeuf,wqvwbrgf,4
yndltdqi,lnqlgddi,4
pgojoytd,ptbjklxy,2
kiaezspp,kinrzfpl,4
angvhdqi,antihddv,4
sssoqsgv,swfbdstv,3
tysqfxuc,tlsqsxhp,4
quqmjmhq,dhqzjzvh,2
lbildlla,lbvlqlcr,4
fugdbpbq,fhgqbcbq,5
ljxluxta,yrklhxkn,2
bgqfvxei,ogqfvkei,6
vucsksdy,iupfxfmg,1
gkwmkbqp,gtjmkbmp,5
gcmkgcmy,gcmxgpzu,4
acakuuya,apakhucs,4
gcachvdp,gcnchidy,5
rfylgmge,eslygmke,3
knxrbndd,xaxebami,2
vsslqrgc,vwfydrtx,2
mgqdsdub,ztddfdhb,3
kcyrkahy,kpyrxnul,3
kcklwcld,kpklwolh,5
hghhkxgh,ugudxxgu,3
vbatpplu,ibngypyv,2
hgwdpxsv,ugjdlksi,3
iplockgr,vclbpxxe,1
wgkcukyr,wtxpuklj,3
kvarfnim,xvamfavm,4
yclbfmce,yplbsabr,3
dmkgwgey,qzkgwgry,5
ffpraqqh,sfprndmh,4
vnibevrc,invovvnp,2
hophnrlz,hochnjcz,5
bkwqkzpp,bxwdgzol,3
feciehwe,srcveujr,2
ubyifppp,ublispps,5
kxhqoqxx,xkhdbqkx,3
hupochld,uhpophlh,4
anyifbqb,anlifozf,4
accrsrdb,adcrsezf,4
qgybfstc,qglosssy,3
gcdygvxp,gcdlgvol,5
iziibxii,imivpkii,4
aoccnlbd,abppngol,2
scqfould,fpqsohlv,3
gbcreqpd,gbcridpd,6
gvyoqgou,gvybdgoh,5
vjsjkpxa,irsjgcbf,2
rbyqkggl,eoyqtggt,4
czhsbwyr,pzhsbjyr,6
piudcdue,pvuqpdhw,3
piioyxgd,pvvoyxtx,4
kaofvhsc,kaosvusp,5
ydxjutup,yqxrugvc,3
ruakjmvm,ruaxvriz,3
kparjmgt,xpnrjzgg,4
nparcmur,npnrcmhe,5
ckflziaa,cxfymvan,3
khywoggr,kuywogke,5
ytrnfnta,ytjnsatn,4
mmisvzgq,zzifimkv,1
aowczfee,abjcdsrr,2
rzdrtbqc,rmqrtoqx,4
ajjhrzqe,arwuemdi,1
soivlhmx,soviyuak,2
zrolfqla,zrolfqln,7
ubtdbyub,ubtqolub,5
yfwfcxfz,ljjfcfbu,2
aupzozlr,auczbacw,3
qfogfyiz,dsogflwm,3
wiruztub,wvrhdfgb,3
bayjajgc,omlwnwtk,0
pdofbqtb,cdofbqkb,6
qlcasckc,qlcnspxx,4
bsweykyb,bjwrlkcs,3
gddizvga,gddvzita,5
bsiqqruq,ojvqqedq,3
hzbszarm,hmbfmnae,2
anyuvwum,amyhiwur,4
emicsieq,rmvpsiau,3
ftqirqin,stdvrdwj,2
flxkcugv,flxkpigv,6
zklrzlkq,zkyrmykq,5
ynxfpxuz,ynxfpxfm,6
kivheihw,xvvhrvhj,3
bzldzamz,ozyqqnzm,1
kxplrixm,kxplrvov,5
vmekuvlz,vzekuipv,4
wdfzlhcm,jqsmluom,2
vgpdvfvp,vgcqvfvp,6
zsfwkhaq,msswxhad,4
ugucahun,ughpnuhn,3
crhvrnce,prhveaoj,3
zuectgxa,zhrptgbn,3
bqkcvyxc,bdxpilby,1
bkzrsapo,bxzrfncs,3
fcltzkiz,scygqsem,1
rkkvrhze,rkkirvai,4
gmacoyay,tmnpbyal,3
vpomjszi,vcozifnv,2
qgbzrslo,qtbmefls,3
fvgfkiqd,fitfkvmq,3
gokdsprb,tokdspnf,5
klilkqif,klvlkdws,4
wajbjeto,wajbjexb,6
gcidtslb,tcvdgsco,3
rrkyzjdc,rrkymwqk,4
kfkacfdq,xfknpfqu,3
bdlzvhla,odlzivca,4
nielbwue,avryojwr,0
rrgvzmdl,ertiqrqx,1
gmplnqrd,tmpyadah,2
luahewgr,lunuvwgw,4
nkqpjjud,nkqcwjud,6
bppkpxhp,ocpkyxhp,5
gqlamhgd,tdlnzhgk,3
phqpzhsr,pudpmhsw,4
zzhscjeo,mzhfyjrb,3
kdcgrpiq,xdpgexvl,2
gdtocuma,gdgopwnj,3
voporyyz,ibpoeylm,3
vzmmoohr,immzobvw,2
zzajqaoh,mmnjqnbu,2
gbjkssme,gbjksfni,5
fjjeovtq,frweovtd,5
esebkyxq,ejeotloq,3
qakgvvgc,daxgvvkc,5
gxrifsym,gkrifsyz,6
gfdyjtdi,gfdywtmv,5
bniiwctb,oavvwckb,3
maemaauq,znrznajh,1
urxzxfur,urkzxsde,4
akdsusba,nxdfhfbf,2
bkcyzkyd,bkcyzkyq,7
bucggvdz,bupgtizz,4
aseakchd,afrnklyy,2
yfpovnhh,yjpovahv,5
izukrsrr,izhxrsar,5
fetfzkhm,fetfzkvm,7
qdjulkll,ddwhlkpt,3
jidsqyua,jidsdyss,5
mnaoasmj,zmabeszj,3
rfhjhbtd,ejhjhoti,4
kgoexjgd,xgorxjsv,4
knlnsmdb,xnynszqb,4
yaowlyqz,yaowylme,4
ywdyywax,yjdylwnx,5
gyjvvchl,tlwvvcqg,3
gaocgsab,taoctfnb,4
gxxjyhyz,gkxjlhlz,5
yowaoeer,lbwabere,3
nyojodqi,nlbjoddi,5
avzmralg,aimmract,4
ugskahdq,hhfxaizq,2
paxbjqix,paxojdig,5
rfchwqlc,rfcuvmch,3
hiwhkzud,uijukmhd,3
uuacbmua,hhacbzja,4
jfbkrcir,wjbxrpje,2
zyvkzwhz,zlvxdwvj,3
hrddfbgz,heddfbxm,5
uulxvhdi,uhlxvhqv,5
piaacjsa,cinapjsn,4
bhucpfgq,bhuplsgu,4
scwysyey,scjlsyry,5
zzjqnhwf,mmjqahws,4
fboakdll,sbontdpy,3
wgserhsb,jtsrrhfb,4
qgpbkagc,qtcbxaxy,3
oytuhfhw,olthushj,3
accujvhg,nppujvwt,3
kjizanga,krvzanxf,4
zoyokylb,moyogypb,5
maucevmb,znuciiao,2
yfyywbgb,lfyywbgo,6
nkjfkpqp,ntwfkpdq,4
kfprlalr,kscrlnpj,3
slmltniv,slmygnev,5
pifmcqhz,cvfmpqyu,3
tihwonum,tihwbnue,6
kxrcwlgr,xkrpwgtr,3
ggmuckqr,tgzucxqj,4
vulgbqhb,vuytbzqf,3
ykajtysa,lkajglsa,5
faywygue,fzyrygvw,4
gjmgscil,grzlfpit,2
qgqyhbpc,dgqluobx,2
bofkphdl,boskyudg,4
ucdmwcin,updzwxwa,3
chqltppa,chqltcpa,7
bzfrkylb,ozsrgycs,3
vaqarryz,izdnewpz,1
hrxjwjic,hexwwjix,5
furdbqea,fhrdbdea,6
pkhgbohe,pkugbavj,4
psrhzzum,cfruzehz,2
ydrkzhun,lqekmgha,1
jfflbfhm,wwflofuz,3
qgkppsyc,dgxplscx,3
vbrabbvp,vornooey,2
vuiaksud,iuiaxsud,6
jueguhed,jueguheh,7
arfqwqhq,nrfdjqhl,4
yumoxfel,luzogfet,4
qkfppnuy,dgfcqahy,2
drwiabqc,dewvzozq,2
cykojbdb,clxbjbdo,4
rxcowgdz,excbitdr,3
kvhyjutx,xvhljhkk,3
vcdswwbc,icdfjjbl,3
ednrzdhe,edneqdij,4
gytrlpyz,tytrlcyz,6
wbpffcgl,jbcffcxh,4
kjetvpxe,keegipbj,3
bgomwtlc,ogomigcu,3
jfekzbqm,jfrxmode,2
edggjqvx,rdggjqex,6
byalfphr,bynlspvr,5
kugfhegp,xutsuexg,2
gjfrocgo,tefebpxf,1
awqikhun,niqvkuhn,3
uaekcerz,uzekpram,3
bazqelbc,bnzdegbc,5
ygsrfxue,ygsexxur,5
gulgcqwb,thlgpmwf,3
wavfsqqh,jniosqmu,2
wmueklwl,jzuekywg,4
muojthvb,zhbjtujb,3
woivscla,jbivfppn,2
vnxrnvvp,iakraivk,2
dswvradc,dsjvendx,4
kzhczxlh,kzhcqxpu,5
pshozglb,cfhodgyo,3
bkmlrxqh,bxmlrxzh,6
kfmlxegv,xrmyxrxi,2
fzhakcfc,fmhnkpfl,4
nyiqnlhu,nqidayiu,3
yiejglue,lvrjtlww,2
wdchdyvy,wqcudlry,4
zsdeppfq,zwqeppsy,4
swqzzelb,swqmmeyo,4
dpofcpxo,dcbsppbf,2
wuahzill,whaqdjlt,3
vsrpknia,vfepxaia,4
yuhuztdb,luuudszb,3
mxvgvdrb,mxigidab,5
uzobfcyy,hmoosccl,2
gbtzzalq,gbgmmaqd,3
ffdcmfuq,fwqczfuy,4
rlvryrla,eyieyrpn,2
jvolmbrp,jvblzonp,4
wkplcqwb,wkcypmjs,2
afgeoxta,astzoxkn,3
jualllue,whalygww,2
sabvusxr,smbvusbw,5
rsasdmhe,rjafdzhj,4
mcqlzzlv,mpqldecv,4
amqrzmal,azqzmzag,3
rcvjkrdx,rcvwkepk,4
vkpfvbwm,ixpfibwe,4
bfqlangr,ordlnnxw,2
gegtchdy,grgtchmy,6
ytdfabwm,ltdfmbje,4
ycngxsgl,lcntxfxg,3
sakswrcz,snxsjrcq,4
wlirltmi,wlveygav,2
ysaizfup,yfnizsvp,4
groczhrp,gropzhal,5
ajvudvxl,nevuqibg,2
bwlrzbvz,bwlrzbij,6
ffgdbltq,fftdbcki,4
lkeaeqlr,lleavdcr,4
bxggfviz,oxttsvrz,3
wjyfwclr,wrtkwccj,3
fuoejbiu,shbejoeg,2
ddvmqqea,ddizdqea,5
ycggxwrp,lctgxjac,3
zoqofxue,zoqbfkgr,4
wlfltqvq,jlsygqwq,3
wglznvhr,jgyzawdr,3
qintnflh,qiatnslv,5
bvoxpvdv,bvbklvdi,4
wfsbjaai,wfsojnnv,4
sbirzptz,sovmzpxq,3
wwvljbil,wjvyjbjt,4
htwsapgm,htwfzcsi,3
zzamqzxq,zmamqzbq,6
zoekbpja,morxopja,4
qdrvndqi,qqriaidv,2
gcyuksto,tcyhkfss,3
hspyzbjl,hfpymbwk,4
avvtexdp,avvgekdq,5
yjzomhgy,yjzozvgy,6
mxexkshc,mxekxfjt,3
kauahqmd,knuahdzh,4
ppqfvhuc,cydsvuhk,1
vdpfuchm,vqpfuczz,5
qgcvcpyk,dgcilpck,4
ezjumywb,rzwuqyws,4
jgeohdgz,wgeohmxm,4
gfbrlbdr,gfbrlbdw,7
nzmcrpqq,nmmpepmq,4
viwerfyz,ivjeeflm,2
bnzdetld,oazdrgci,2
ackjlzql,ncxwyzmt,2
acsjnmwm,aqfjrrsm,3
qswmafsc,qfwmmfsp,5
dsuccbbo,dwhpcbbb,4
zdkvzcbz,zqkidxbz,4
fryeztpo,fryedgcb,4
uswjkhry,hwjjxury,3
ckslsblp,plflfbcq,2
fzffhxhp,fmffhxhy,6
vgwkzsuu,vtjxdfhv,1
ppktopgz,ppktbkkm,4
ffydvkyc,ssldikpk,2
rkhoxcgb,rxhbxptf,3
yjminkbe,lwziaxbe,3
ezttcqhz,rmggpqqm,1
sqdavqoe,sqdaiqoi,6
inchtdtd,iaphgmgd,3
ivhwsyfp,ivuwfyfx,5
awecdvhn,ajepdida,3
ycxhnfuc,ypxuaswl,2
qorakvmx,doragvzk,4
fwmsscqb,fvmsjcqb,6
sldwhylg,sldwhllt,6
fvhcaqub,fvucnqfo,4
pfsorcta,cwforckf,3
isuqwivf,vjudwijs,3
fwftfprl,fwfgskny,3
ygfdmhvy,ytfqdhvl,4
gcdulgue,tpdulshw,3
jvcdvcgb,wicdvcko,4
zpcubstc,zccubsfp,5
fghvwsqr,fghiwsqj,6
rcgfwvue,rptswvww,3
fgtskjlf,sttsxjys,3
btxzzstc,btxmmwxx,3
kzgrcxqd,xzgecxdx,4
cbqqjfeg,codqjsrg,4
sdmseneb,fqmfvneb,4
wvjhrfhh,wvjuefqh,5
feotnhel,frogaheg,4
ivhdjqur,ivhdjqve,6
kvhnuqtr,kihaudxr,4
pwojqvrp,cjbjqvrp,5
dwwhzadp,qwjuzadc,4
dglicuqr,dtlvpuzr,4
gnjtkzlc,tawtkmpp,2
crygfugr,peytsvxr,2
rfpjblwl,rjcwbywt,3
kzyhzltq,xzyhqyxq,4
xdxatsvq,xqxntfed,3
wkddkchm,wkqdxcvz,4
mdomjcdw,mdbmwcmj,4
jjzvdvyg,jrriqicg,2
drdfnpdq,drqsnpmd,4
qcgmtpbc,dcgmtcbl,5
gnercvhv,tnemyilv,3
krarjxra,kenejxra,5
fdkfktyy,fdkskgyy,6
aganjwlb,aganrwco,5
ddofyrvx,qqbflevx,3
btfpppap,bgfppcap,6
mxaiiuhs,mxaiihhs,7
khaxlfja,khnklsww,3
pxmxkgge,pkmkktkr,3
gcdfcywq,tpdscyjx,3
agqlumvm,ntqluzwz,3
ezjyrcgq,ezwyrcgu,6
esekjqvp,efekidvg,4
kghbhfep,xghbhfry,5
anfjtqoc,aasjtqok,5
gterzpll,tgeemcyh,1
pkahuoca,pynhhoba,4
wlemyaus,jyrmlnhf,1
anxgmtuc,aaxgztux,5
agfosvsq,ntsokisq,3
ugkakkyc,htxnxxyk,1
qfhewogz,qfhmwbgz,6
pprtrnwm,pdrgrnja,4
luhheslq,yhuhefpd,2
muxllzvb,muxlyzwb,6
mxuqkgak,mxudttng,3
acggpvfx,nptgcvfx,4
gujkprmy,gujxlrmy,6
ddcysnvp,dqcyfnjp,5
fkhrpbgp,fxuryoty,2
qwwhfpqy,dwjhspzl,3
goyyckgo,gbyypxks,3
myrmrahh,mlemrnqu,3
mfguexvi,zsgurkei,3
fswrlzwt,fsjrymwg,4
knmlcrdp,xazlprdy,3
nioafcur,aibascue,4
kbrihqqr,xbevhqzr,4
rvwnwalv,eijawaci,2
kcomewhj,kpbziwuw,2
rliibwgs,elviojkf,2
akklggbr,akxytgbw,4
qcvlbmvx,qciloerk,3
elejkvjc,rqrjkvwk,3
uyogjpup,uybgjphk,5
ndjnpkqr,nqwackqr,4
zsieyghb,mfvrygis,2
ffctrldp,ffctexzy,4
ujkgqdsa,uwxgqdss,5
gdhewkdb,gduevxmo,3
rccgrghb,epcgrgvb,5
wjaercta,weamektn,3
acounllz,nqohflcz,3
kbdfzbid,xbdszoji,3
wggagcyp,whtagpyp,5
onglwgyz,oatywtym,3
ksizppqr,xwvzcpqe,3
lvslnoql,lvslnodt,6
wslrdzdz,wwyrqmmz,3
lbhlwnct,ybhljnot,5
dcmrczyz,qpmeczpm,3
lxrdqfus,lkrdqfis,6
dyqqwwdb,qydqwjdf,4
vhaervrz,iuaeevnz,4
bdscrzlr,odspemlr,4
czassrdb,pznfjrzb,3
wyeikzgv,jyrikzti,4
rkyjzndp,exywmamp,2
ukkporpk,htkpbeck,3
lowdmccc,lowdzobk,4
giadsxik,tvnqsxvt,2
ofokvvda,bfokivma,5
qsskpyic,qffkcyvk,3
bklufcie,oxlufpjj,3
scjkzswr,scjxdfww,4
jvhguyib,wiutulib,3
yktgfyuo,yxttflub,4
dkrdabdp,dxednozp,3
emoydxmy,rzoydxal,4
gjellnum,twrllnsz,3
bfsywtqc,bwfyvtmk,3
aboajyls,nboawlcs,4
hzwezvgz,uzwrdvgz,5
bkgmukga,oktzhfke,1
pntjxbhz,catjkbdw,3
wejoceun,jewbceua,4
uszswvkc,uszswikk,6
rgkackdx,egknpxqg,2
sssikgge,fwsigggj,4
laxfwusa,lnxsivse,3
wtojqlbq,wgbjqlod,4
bhdtpzzz,oudtpeam,3
ffcfoggz,fwpfdgkz,4
qumiqggi,dhzidgkv,2
armgtnvq,arzttnvq,6
bbihbbpc,bovubbck,3
pwphfvhg,pjpuwiug,3
vbxudegl,ibxudett,5
kkochczc,kkbpupax,2
gvlpnfdl,tiycasmt,0
kfkqocxc,kjkqbpxh,4
guhjysjc,thhjlswk,3
zucdlxia,mhcqlkrn,2
enokryga,enoxeyks,4
yxplndhz,ykclnqvz,4
kvhgqhgl,xvhgdhtk,4
mgvlfnhr,zgvlfauj,4
avmauuli,aiznhhpv,1
eeafghic,reafghvx,5
wjhegpge,wjhmgctw,4
btqmedwb,otqmrqwo,4
gckktzyc,tckkgmlk,3
gfdhbfum,gfdhowwm,5
kawfvmhz,xzwsizuu,1
anoeoogc,anbecogx,5
hikjfqca,hikjsdcw,5
yfcoccyx,yjpoccyx,6
rhxickyq,euxvpxld,1
alphrjvm,nypurwjz,2
ugodcygc,uubdcytk,4
gvcbbslb,tvcoosco,3
elfcuzae,ryfchznj,3
lxfrzgoz,lxfemgoe,5
ewkheuld,ewxhvhlx,4
iiuctpqq,vvuctpzq,5
gixibzuc,gixicmuc,6
dcpqnmdq,qpcqnzzl,2
uapknxeq,hacxnkru,2
edaaeqiy,rdanemil,4
knprzydi,kacemyqi,3
fycglkdy,flptyxdy,3
rwahvbir,ejahvovw,3
ucqgfxgc,hcqgskgp,4
zxskluqr,zysxyhqe,3
ekiszety,rkvsqekl,3
mtxanniv,ztxnnnii,5
skmkpthm,skzklxhe,4
mlpaedwc,mlcarmfl,3
ukukhruc,ulhpueuc,3
gccnnxyc,gppnaxck,3
isadajvb,isndajwb,6
rkojkojc,ekbjxbjx,3
endbfyaa,rndoslnf,2
ppejlsrr,cpewyfne,2
yusfsrhn,yufssria,4
isieould,vjirovpy,2
qadwfyka,dndjsyxs,2
hkptgcde,hkcttczw,4
enfksumb,ensxfumb,5
krakbbip,xrnkoorl,2
zkpiqagp,mxpvqafl,3
fvhmkqqa,sihmxqqn,4
rmfntddn,rmfagdqf,4
gnbfbouc,gnofbohg,5
acrcojgr,acecowxr,5
pixfrcgo,pikfrkps,4
guoajpmy,tubnjcml,3
hghlaagr,hgulnakj,4
ungkkyyc,hngkxyly,4
klltqqra,klygqzne,3
qoioogfe,dovoogfw,5
wegcszgm,wrgpsmkm,4
eneugamu,enruganu,6
bcmmjawp,ocmmwawc,5
fcklppeq,scklpprd,5
fdttzclz,fdggqccm,3
krysrqlp,xeysedpk,2
ekvarmpk,exvnerbx,2
iymitlmb,ilzvgtnb,2
bhacukuo,ohachxus,4
ipdidvep,ipdvdvry,5
bnwoicum,bawoiche,5
ysekbgyc,ysrxogyf,4
prmffuvw,crzssjwj,1
zvklrvlb,mvxyiicz,1
anajclhl,nnajqguh,3
wqchwqgq,jqcuizxu,2
fwhmwcuo,fiuzwchb,3
xrrljniq,xerywnrq,4
upbrbfeq,ucbebsrq,4
gsbjachc,gwbwncdc,4
culbjydb,chybwymo,3
jkjjfnhm,jkwjfahm,6
juzjzegd,wumjdesk,3
eaekjebc,enrkweox,3
kysnqcyl,kyfndcll,5
arfjuuua,nrfehvur,3
bmembyre,bmemplnj,4
zkkmcelr,zkxmcecv,5
fkkulfur,sgxhyfur,3
wlynqblp,jlcadblc,3
uzcusbua,hzpusoya,4
uywprvhh,uljceihu,2
wacafhhh,jmpnfhih,3
xbrjjqsc,xbewjzsp,4
jsvolodm,wwibysmz,0
rfgiohut,ewgvphht,3
yzeikygp,lmritygs,3
vxzoqigg,ixzbqvtt,3
ygfjgjez,ytswgjrm,3
mlagvmuc,myntimtg,2
uomcugse,ubmcugsr,6
kjrqhvtq,xweduixx,0
pvomjqvy,pvozjzrl,4
iypdelkq,vlcqeyxd,1
btqqzzqp,otqdzazy,3
rokosjln,rbkoswln,6
ermqvkaq,rrzqiknd,3
enkkgfgc,rakkgfxu,4
fgllrydo,fgylelqo,4
pacuzzlh,pnphdeph,2
qkqhyqli,dkduymli,4
aggrhphh,ngtzhcih,3
emgexval,emtexjng,4
zpxmnhgq,mckzahgd,2
zzcvuhsd,mzpvhusd,4
ftdrztpq,fgqrqgpd,3
uloccukq,uloppvxu,3
jgakkwdz,wgaxxjzz,3
aujafvhr,nujafimw,4
fafwkrrc,fmfjgjak,2
akpslqlr,nkpslqcw,5
byipbhhe,byicphiw,4
yjpipdwq,yvciyqjq,3
ddxasvhz,ddxnwvvm,4
hsfrfhkz,hffrfhom,5
mppldnvd,zqplqaei,2
kswcxtyp,xwwpxtlk,3
kfpfvhrz,kwcfihre,4
zpimacun,mcimncun,5
zfpjydgq,zspjldgh,5
zaoxegde,znokvgmr,3
uoackbbc,ubnpkfok,2
ygqqixwe,ytddvxje,3
uueltkta,hhelgkxa,4
rugjcslv,ehtwcfyv,2
yflayqtp,yflnlqtc,5
cnhivhld,cnhvvhdi,5
iwwufxgr,ivwhfkkr,4
luxxnagq,yuxxankd,3
gibhzwuc,gvbhmjgm,3
wfpmrhdr,jxpzruqw,2
akeaalxd,akenaloh,5
qtelvlxa,qgryilbf,2
kdqjfbge,kqqjwosj,3
uccgfxhh,hpptwkdu,0
iszkovhh,iwzxovyh,5
acgclvgd,adtplvfi,3
ladmgfed,laqmtsrx,3
kvofxajl,kvofxawh,6
akkggulb,nlkggulb,6
ydlaeqiz,yqlaeqwi,5
yporzzup,lcoemmsl,1
zhxowchq,mhxbvbuh,2
ulsgkhga,hlstkita,4
kcllrxdr,xcylrsmj,3
qpmoypwq,dpzoycjh,3
flxetfgc,fyxrtfgp,5
fkyjsavp,fkywsael,5
ddmcysdb,dqzplsdo,3
kseclqta,xwecydsn,2
anyitwuz,nayitjge,3
vdfjprld,idfwcrly,4
brychblq,beyphbcd,4
yiggccck,litgycpk,4
kokypsmx,koxypfax,5
asajezlr,nsajimpj,3
ffclklel,swcykyrt,2
ffkkfcxc,sfxxsbou,1
pnijzhhy,paiwzhhl,5
ykftpzea,yxsgczez,3
puoophwp,pubopuwy,5
xnmoxqtr,knzbxqkj,3
vsiirygb,ijvirggs,3
dubjzvdh,dhbwmvzv,3
geyaikux,teyaikhs,5
vbxkyvtq,vokkyvkd,4
vjucsbyf,veupsblf,5
klmmlrqp,kymzlrmk,4
vdtzpsdi,vqtzpsdi,7
wekuclgi,wrxuplki,4
wsllcqib,wfylcdeo,3
ybxygghh,ybxygguh,7
gytohdue,tytbuqvj,2
pjpjfclp,cwcwfbpu,1
wveracqh,jieraczh,5
prwqkpil,crwdklvl,4
jdakgrup,jqnctjvp,2
zyqmculd,myqzchlu,4
rgdmccuo,rtdzpcuo,5
rkktleml,rkktleat,6
ysbllmum,yfbllnur,5
ajgyiptq,ajglickq,5
bhgjjahq,bhtjwaid,4
rwdoxbdr,ewdbxbqe,4
agyhgtuq,agyugtuq,7
wxxelggz,wxkeygsz,5
wcbnexll,wpoarkpt,1
gsditmiq,tfdvtrrl,2
isgoqtgd,ifgoqkxy,4
zggfzyhp,zgtsmlip,3
zkxncsub,mtxncfhf,3
gkpqbiyp,gkcqbiqd,5
skjfkyuf,fkwfklhf,4
bagdyvta,bmtqlixn,1
ukgspamx,ugkfpnzx,3
wtgtrkka,wgggifbr,2
pjsaznud,pesamahi,3
wwfvbkei,wjsibkrv,3
rrmaseea,eemnseen,4
crdtvamq,prdgiand,3
zisatchh,zvsatpyh,5
asqgvwvq,ajqtiwwk,3
ygijkbtc,yujjtbkc,4
wzkgnvlc,wmkgavpp,4
gzftlsod,gmsgysbh,2
mfxafcvy,zjknfpvl,2
zyxxzpiz,zyxxzpve,6
akplkehu,ngpygevu,3
qoiyfkxf,doilfxbu,3
ewwenqgu,rjjrnqtt,2
guwxbzgp,tujxomky,2
gesjrmxb,geswrrof,4
qciqgvlq,dcvqgilq,5
aiakjgrm,ainxwtnm,3
zlsmccsa,zlszpcsa,6
vkwdiqlv,vxjdvqlv,5
rutrtmua,ehgrtrin,2
gygajzuv,gytnwmhi,2
apiszaoz,acifqnbe,2
rvyydglb,riyydtys,4
yuikzqlr,lhvkqqce,2
gzdxzxlp,tzqxmxyf,3
acqamhgd,apdamukh,3
uyckrsub,ulpxesvb,3
yezqbcgo,lrmqoplf,1
jsmstjub,wszftwio,2
rjvaoclq,eevabbpu,2
durgvnub,qhrgiaho,2
mivvkavp,zivvgney,3
qpeukhge,qdehkusw,3
ygoporub,ygbpbehb,4
biedntlu,oiedatpi,4
dcdwpxqh,dcdjykqu,4
mgpqvavy,mtpqvaiy,6
zodmpbie,zodzpbvw,5
wpakcmur,wdaxcnye,3
yfgafbep,lwgasbel,4
scsznidl,fcsmaiql,4
aamkkxdn,namxksqa,3
vdccycdz,idccykmz,5
ucgufkie,upgujkii,5
lswkfgsc,yjjxftsp,2
anxjealb,anxjvnpo,4
yodjcbgz,yodwdokz,4
uescvulo,hrfcihys,1
goxjyvyp,toxwyvyl,5
uaorcere,haoelewe,4
ziaaoalr,zvnnbakw,2
zrjcbglf,zejcbtys,4
wfkcvxlq,wwkpixyh,3
ftqlbxtb,ftqybksb,5
gzpjcngl,gmcjcngt,5
aofucqse,aofhlqfj,4
kogszvpx,kogszvbk,6
dcyrykdc,qqyrlkdx,4
vsagqpjq,ifagdpwq,4
srbovwcc,seooiwcc,5
qsrpjeec,djrcwrnx,1
prmfacil,crmsncvt,3
yfcjixyc,lfcjvxdp,4
ensyrglq,ensyegpu,5
